,Rank,Country,Numbers of scientific publications (2020),Numbers of scientific publications (2020)
,Rank,Country,Total,Per million population
0,1.0,China,744042,527.0
1,2.0,United States,624554,1875.0
2,3.0,United Kingdom,198500,2959.0
3,4.0,India,191590,138.0
4,5.0,Germany,174524,2097.0
5,6.0,Italy,127502,2159.0
6,7.0,Japan,127408,1016.0
7,8.0,Canada,121111,3184.0
8,9.0,Russia,119195,819.0
9,10.0,France,112838,1664.0
10,11.0,Australia,106614,4109.0
11,12.0,Spain,104353,2202.0
12,13.0,South Korea,91030,1762.0
13,14.0,Brazil,89241,416.0
14,15.0,Iran,71894,863.0
15,16.0,Netherlands,62512,3534.0
16,17.0,Turkey,53802,635.0
17,18.0,Poland,51994,1364.0
18,19.0,Indonesia,49160,181.0
19,20.0,Switzerland,47607,5461.0
20,21.0,Sweden,43270,4141.0
21,22.0,Taiwan,39201,1677.0
22,23.0,Malaysia,37099,1135.0
23,24.0,Saudi Arabia,36301,1037.0
24,25.0,Belgium,34575,2976.0
25,26.0,Egypt,34575,298.0
26,27.0,Denmark,29982,5110.0
27,28.0,Portugal,29189,2821.0
28,29.0,Mexico,29089,231.0
29,30.0,Pakistan,28525,127.0
30,31.0,South Africa,28365,472.0
31,32.0,Austria,27324,3044.0
32,33.0,Norway,25204,4654.0
33,34.0,Czech Republic,24811,2358.0
34,35.0,Hong Kong,24203,3273.0
35,36.0,Singapore,23078,4232.0
36,37.0,Israel,22743,2402.0
37,38.0,Finland,21789,3948.0
38,39.0,Thailand,20830,312.0
39,40.0,Greece,20123,1884.0
40,41.0,Iraq,18711,454.0
41,42.0,Ukraine,17888,434.0
42,43.0,Vietnam,17485,177.0
43,44.0,Chile,17137,871.0
44,45.0,New Zealand,16886,3286.0
45,46.0,Ireland,16581,3309.0
46,47.0,Argentina,15605,341.0
47,48.0,Romania,15537,810.0
48,49.0,Colombia,15103,296.0
49,50.0,Nigeria,13282,63.0
50,51.0,Hungary,12168,1250.0
51,52.0,United Arab Emirates,10079,1061.0
52,53.0,Morocco,9463,259.0
53,54.0,Slovakia,8709,1597.0
54,55.0,Tunisia,8338,710.0
55,56.0,Bangladesh,8265,48.0
56,57.0,Algeria,7968,176.0
57,58.0,Serbia,7960,1158.0
58,59.0,Croatia,7814,2010.0
59,60.0,Slovenia,6808,3228.0
60,61.0,Jordan,6540,587.0
61,62.0,Bulgaria,6233,956.0
62,63.0,Ethiopia,6141,52.0
63,64.0,Philippines,5636,51.0
64,65.0,Ecuador,5519,308.0
65,66.0,Peru,5425,164.0
66,67.0,Kazakhstan,5339,279.0
67,68.0,Qatar,5081,1815.0
68,69.0,Lithuania,4658,1667.0
69,70.0,Lebanon,4249,628.0
70,71.0,Ghana,4189,136.0
71,72.0,Kenya,4110,86.0
72,73.0,Estonia,3810,2865.0
73,74.0,Cyprus,3629,4087.0
74,75.0,Uzbekistan,3491,99.0
75,76.0,Sri Lanka,2844,128.0
76,77.0,Nepal,2555,84.0
77,78.0,Macau,2549,3736.0
78,79.0,Belarus,2547,272.0
79,80.0,Oman,2543,562.0
80,81.0,Latvia,2530,1349.0
81,82.0,Kuwait,2345,502.0
82,83.0,Uganda,2259,53.0
83,84.0,Luxembourg,2256,3554.0
84,85.0,Tanzania,2199,37.0
85,86.0,Cuba,2088,187.0
86,87.0,Cameroon,2086,86.0
87,88.0,Georgia,1905,511.0
88,89.0,Uruguay,1902,535.0
89,90.0,Azerbaijan,1764,174.0
90,91.0,Iceland,1738,4622.0
91,92.0,Bosnia and Herzegovina,1574,474.0
92,93.0,Costa Rica,1438,279.0
93,94.0,Venezuela,1397,49.0
94,95.0,Palestine,1204,230.0
95,96.0,Sudan,1187,27.0
96,97.0,Armenia,1175,396.0
97,98.0,Zimbabwe,1116,71.0
98,99.0,Bahrain,1066,710.0
99,100.0,Yemen,1064,35.0
100,101.0,Malta,1016,1974.0
101,102.0,North Macedonia,990,540.0
102,103.0,Myanmar,974,18.0
103,104.0,Malawi,952,50.0
104,105.0,Senegal,938,54.0
105,106.0,Puerto Rico,872,265.0
106,107.0,Zambia,802,44.0
107,108.0,Botswana,800,332.0
108,109.0,Panama,777,182.0
109,110.0,Syria,734,40.0
110,111.0,Rwanda,715,55.0
111,112.0,Brunei,681,1584.0
112,113.0,Libya,674,97.0
113,114.0,Mongolia,662,194.0
114,115.0,Burkina Faso,651,30.0
115,116.0,Benin,625,50.0
116,116.0,Montenegro,625,1006.0
117,118.0,Ivory Coast,615,23.0
118,119.0,Albania,612,216.0
119,119.0,Mozambique,612,20.0
120,121.0,Moldova,549,211.0
121,122.0,Cambodia,529,34.0
122,123.0,Namibia,524,205.0
123,124.0,Kyrgyzstan,507,76.0
124,125.0,Jamaica,478,175.0
125,126.0,Fiji,469,522.0
126,127.0,Bolivia,454,38.0
127,128.0,Mauritius,451,356.0
128,129.0,Democratic Republic of the Congo,439,5.0
129,130.0,Trinidad and Tobago,437,320.0
130,131.0,Madagascar,413,15.0
131,132.0,Paraguay,407,55.0
132,133.0,Guatemala,403,24.0
133,134.0,Republic of the Congo,386,68.0
134,135.0,Dominican Republic,346,33.0
135,136.0,Honduras,345,37.0
136,137.0,Mali,325,16.0
137,138.0,Tajikistan,324,34.0
138,139.0,Laos,305,42.0
139,140.0,Afghanistan,286,9.0
140,141.0,Grenada,250,2212.0
141,142.0,North Korea,237,9.0
142,143.0,Monaco,232,6050.0
143,143.0,Papua New Guinea,232,25.0
144,145.0,Gambia,230,92.0
145,146.0,Togo,220,28.0
146,147.0,Sierra Leone,211,25.0
147,148.0,Niger,204,8.0
148,149.0,Bhutan,200,265.0
149,150.0,Gabon,189,85.0
150,151.0,New Caledonia,185,676.0
151,151.0,French Polynesia,168,600.0
152,153.0,Barbados,156,542.0
153,154.0,Eswatini,147,125.0
154,155.0,Angola,146,5.0
155,156.0,Nicaragua,141,21.0
156,157.0,Guinea,138,11.0
157,158.0,French Guiana,130,442.0
158,159.0,Haiti,127,11.0
159,160.0,Liechtenstein,125,3193.0
160,161.0,Saint Kitts and Nevis,121,2241.0
161,162.0,Greenland,116,2048.0
162,163.0,Burundi,115,9.0
163,164.0,Seychelles,111,1119.0
164,165.0,El Salvador,107,16.0
165,166.0,Lesotho,99,46.0
166,167.0,Somalia,92,6.0
167,168.0,Maldives,91,238.0
168,169.0,Mauritania,86,20.0
169,169.0,Bahamas,86,219.0
170,171.0,Bermuda,78,1218.0
171,172.0,Guam,76,494.0
172,173.0,Guadeloupe,75,187.0
173,174.0,Faroe Islands,74,1378.0
174,175.0,Eritrea,72,20.0
175,176.0,Samoa,70,350.0
176,177.0,Central African Republic,69,12.0
177,177.0,Liberia,69,15.0
178,179.0,Guyana,68,91.0
179,180.0,Cape Verde,67,119.0
180,181.0,Chad,66,4.0
181,182.0,Solomon Islands,62,85.0
182,183.0,Suriname,60,100.0
183,184.0,Martinique,58,155.0
184,185.0,Guinea-Bissau,57,35.0
185,185.0,Réunion,57,66.0
186,187.0,Vanuatu,52,173.0
187,188.0,San Marino,50,1484.0
188,189.0,Belize,49,114.0
189,190.0,Timor-Leste,41,31.0
190,191.0,South Sudan,40,3.0
191,192.0,Andorra,36,453.0
192,193.0,Djibouti,35,36.0
193,194.0,Saint Vincent and the Grenadines,31,280.0
194,195.0,Federated States of Micronesia,30,284.0
195,195.0,Tonga,30,301.0
196,197.0,Cayman Islands,27,410.0
197,198.0,Antigua and Barbuda,23,232.0
198,199.0,Aruba,22,198.0
199,200.0,Dominica,21,292.0
200,200.0,Palau,21,1169.0
201,202.0,Falkland Islands,20,5000.0
202,203.0,Comoros,18,24.0
203,204.0,Kiribati,17,141.0
204,205.0,Turkmenistan,15,2.0
205,206.0,Equatorial Guinea,14,9.0
206,206.0,Saint Lucia,14,78.0
207,206.0,American Samoa,14,282.0
208,209.0,Mayotte,13,43.0
209,209.0,United States Virgin Islands,13,149.0
210,209.0,Anguilla,13,867.0
211,212.0,Gibraltar,12,353.0
212,213.0,Northern Mariana Islands,11,232.0
213,213.0,Turks and Caicos Islands,11,247.0
214,215.0,São Tomé and Príncipe,9,42.0
215,216.0,Cook Islands,8,521.0
216,217.0,Marshall Islands,7,128.0
217,218.0,British Virgin Islands,6,200.0
218,219.0,Vatican City,5,6061.0
219,220.0,"Saint Helena, Ascension and Tristan da Cunha",4,667.0
220,220.0,Montserrat,4,800.0
221,222.0,Wallis and Futuna,3,264.0
222,222.0,British Indian Ocean Territory,3,1000.0
223,222.0,Nauru,3,254.0
224,222.0,Svalbard and Jan Mayen,3,1021.0
225,226.0,Tuvalu,2,187.0
226,227.0,Saint Pierre and Miquelon,1,167.0
227,227.0,Tokelau,1,666.0
228,227.0,French Southern and Antarctic Lands,1,2500.0
229,,World,4236262,
